"Episode","Start","Ende","Dauer_Tage","Energiedefizit_GWh"
1,"2015-01-17","2015-01-25",9,12308.9
2,"2015-01-30","2015-02-06",8,10994.2
3,"2015-02-10","2015-02-14",5,7071.3
4,"2015-10-13","2015-10-21",9,11873.5
5,"2015-10-28","2015-10-30",3,4047.9
6,"2015-11-01","2015-11-05",5,6383.5
7,"2016-01-15","2016-01-22",8,11160.5
8,"2016-03-05","2016-03-08",4,4983
9,"2016-03-10","2016-03-12",3,3790.6
10,"2016-06-14","2016-06-16",3,3624.8
11,"2016-09-19","2016-09-23",5,6080.3
12,"2016-10-09","2016-10-11",3,3623.1
13,"2016-10-20","2016-10-26",7,8919.4
14,"2016-11-07","2016-11-12",6,8248.9
15,"2016-12-03","2016-12-06",4,5394.4
16,"2016-12-12","2016-12-20",9,12369.3
17,"2017-01-16","2017-01-25",10,14784.4
18,"2017-04-26","2017-04-28",3,3847.3
19,"2017-09-17","2017-09-19",3,3423.1
20,"2017-09-21","2017-09-25",5,5736.5
21,"2017-11-06","2017-11-09",4,5446.2
22,"2017-11-15","2017-11-17",3,4072.4
23,"2017-11-29","2017-12-02",4,5734.3
24,"2017-12-18","2017-12-20",3,4356.8
25,"2018-01-10","2018-01-12",3,4288.8
26,"2018-02-06","2018-02-08",3,4410.9
27,"2018-02-17","2018-02-21",5,6549.1
28,"2018-11-22","2018-11-24",3,3958.2
29,"2019-01-19","2019-01-21",3,3745.9
30,"2019-01-23","2019-01-25",3,4450.9
31,"2020-11-09","2020-11-11",3,4029.1
32,"2020-11-26","2020-11-29",4,4974.6
33,"2020-12-08","2020-12-10",3,4313.9
34,"2021-01-07","2021-01-09",3,3996.4
35,"2021-01-15","2021-01-17",3,3756.1
36,"2021-11-14","2021-11-16",3,3730.2
37,"2021-12-09","2021-12-11",3,3916
38,"2021-12-20","2021-12-22",3,3922.5
39,"2022-01-10","2022-01-12",3,4155
40,"2022-01-23","2022-01-25",3,3898.6
41,"2022-11-29","2022-12-01",3,3950.8
42,"2022-12-08","2022-12-12",5,6170.1
43,"2023-01-23","2023-01-26",4,5297.6
44,"2023-11-30","2023-12-02",3,4078.4
45,"2024-11-04","2024-11-07",4,5067
46,"2024-12-11","2024-12-13",3,4117.4
47,"2024-12-26","2024-12-28",3,2997.7
48,"2025-02-13","2025-02-15",3,3920.6
49,"2025-11-07","2025-11-09",3,3381.4
50,"2025-12-03","2025-12-05",3,4064.5
