"Episode","Start","Ende","Energiedefizit_GWh","Deckungsgrad_3a_MaStR_ROH_pct_WARNUNG_implausibel","Deckungsgrad_3a_MaStR_BEREINIGT_pct_PostHoc","Deckungsgrad_3a_S9_BVES_Sekundaeraggregat_pct","Deckungsgrad_3b_SEKUNDAERQUELLE_IWR_pct","Deckungsgrad_3c_BNetzA2030"
1,"2015-01-17","2015-01-25",12308.9,6.9,0.2,0.1,0.2,"nicht mit Primaerqualitaet durchfuehrbar"
2,"2015-01-30","2015-02-06",10994.2,7.7,0.2,0.2,0.2,"nicht mit Primaerqualitaet durchfuehrbar"
3,"2015-02-10","2015-02-14",7071.3,11.9,0.3,0.3,0.4,"nicht mit Primaerqualitaet durchfuehrbar"
4,"2015-10-13","2015-10-21",11873.5,7.1,0.2,0.1,0.2,"nicht mit Primaerqualitaet durchfuehrbar"
5,"2015-10-28","2015-10-30",4047.9,20.9,0.6,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
6,"2015-11-01","2015-11-05",6383.5,13.2,0.4,0.3,0.4,"nicht mit Primaerqualitaet durchfuehrbar"
7,"2016-01-15","2016-01-22",11160.5,7.6,0.2,0.2,0.2,"nicht mit Primaerqualitaet durchfuehrbar"
8,"2016-03-05","2016-03-08",4983,16.9,0.5,0.4,0.5,"nicht mit Primaerqualitaet durchfuehrbar"
9,"2016-03-10","2016-03-12",3790.6,22.3,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
10,"2016-06-14","2016-06-16",3624.8,23.3,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
11,"2016-09-19","2016-09-23",6080.3,13.9,0.4,0.3,0.4,"nicht mit Primaerqualitaet durchfuehrbar"
12,"2016-10-09","2016-10-11",3623.1,23.3,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
13,"2016-10-20","2016-10-26",8919.4,9.5,0.3,0.2,0.3,"nicht mit Primaerqualitaet durchfuehrbar"
14,"2016-11-07","2016-11-12",8248.9,10.2,0.3,0.2,0.3,"nicht mit Primaerqualitaet durchfuehrbar"
15,"2016-12-03","2016-12-06",5394.4,15.7,0.4,0.3,0.5,"nicht mit Primaerqualitaet durchfuehrbar"
16,"2016-12-12","2016-12-20",12369.3,6.8,0.2,0.1,0.2,"nicht mit Primaerqualitaet durchfuehrbar"
17,"2017-01-16","2017-01-25",14784.4,5.7,0.2,0.1,0.2,"nicht mit Primaerqualitaet durchfuehrbar"
18,"2017-04-26","2017-04-28",3847.3,21.9,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
19,"2017-09-17","2017-09-19",3423.1,24.7,0.7,0.5,0.8,"nicht mit Primaerqualitaet durchfuehrbar"
20,"2017-09-21","2017-09-25",5736.5,14.7,0.4,0.3,0.5,"nicht mit Primaerqualitaet durchfuehrbar"
21,"2017-11-06","2017-11-09",5446.2,15.5,0.4,0.3,0.5,"nicht mit Primaerqualitaet durchfuehrbar"
22,"2017-11-15","2017-11-17",4072.4,20.7,0.6,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
23,"2017-11-29","2017-12-02",5734.3,14.7,0.4,0.3,0.5,"nicht mit Primaerqualitaet durchfuehrbar"
24,"2017-12-18","2017-12-20",4356.8,19.4,0.5,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
25,"2018-01-10","2018-01-12",4288.8,19.7,0.5,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
26,"2018-02-06","2018-02-08",4410.9,19.1,0.5,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
27,"2018-02-17","2018-02-21",6549.1,12.9,0.4,0.3,0.4,"nicht mit Primaerqualitaet durchfuehrbar"
28,"2018-11-22","2018-11-24",3958.2,21.3,0.6,0.4,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
29,"2019-01-19","2019-01-21",3745.9,22.5,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
30,"2019-01-23","2019-01-25",4450.9,19,0.5,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
31,"2020-11-09","2020-11-11",4029.1,21,0.6,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
32,"2020-11-26","2020-11-29",4974.6,17,0.5,0.4,0.5,"nicht mit Primaerqualitaet durchfuehrbar"
33,"2020-12-08","2020-12-10",4313.9,19.6,0.5,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
34,"2021-01-07","2021-01-09",3996.4,21.1,0.6,0.4,0.6,"nicht mit Primaerqualitaet durchfuehrbar"
35,"2021-01-15","2021-01-17",3756.1,22.5,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
36,"2021-11-14","2021-11-16",3730.2,22.6,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
37,"2021-12-09","2021-12-11",3916,21.6,0.6,0.5,0.7,"nicht mit Primaerqualitaet durchfuehrbar"
