"jahr","punktschaetzer","pi_unten","pi_oben","quelle","quelle_zugriffsdatum","quelle_url","status","sei","vi"
1992,3100,1900,4200,"EB-19-2025 Anhang (Epid Bull 2025;19:3-9, DOI 10.25646/13135)","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",586.745475463352,344270.252976715
1993,100,-380,590,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",247.453526608457,61233.2478309624
1994,10200,8900,11400,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",637.766821155818,406746.518167197
1995,2900,1900,4000,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",535.724129770887,287000.343218774
1996,160,-600,960,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",397.96649640123,158377.33225787
1997,1920,1060,2750,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",431.130371101333,185873.396885973
1998,900,120,1740,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",413.27290010897,170794.489964479
1999,880,-70,1790,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",474.498514939928,225148.840680197
2000,420,-220,1130,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",344.394083424142,118607.284697555
2001,2300,1000,3400,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",612.256148309585,374857.591142888
2002,1290,360,2260,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",484.702784078421,234936.788893373
2003,10200,8900,11600,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",688.788166848283,474429.138790218
2004,1350,550,2080,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",390.31329454736,152344.467900415
2005,1660,670,2640,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",502.560255070784,252566.809976812
2006,7700,6700,8800,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",535.724129770887,287000.343218774
2007,520,-430,1370,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",459.192111232189,210857.395017875
2008,1220,190,2140,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",497.458120501538,247464.581652922
2009,730,-200,1640,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",469.396380370682,220332.961905098
2010,4090,3160,5090,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",492.355985932291,242414.416883358
2011,230,-350,860,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",308.679141439416,95282.8123597748
2012,1200,100,2400,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",586.745475463352,344270.252976715
2013,3500,2400,4600,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",561.234802617119,314984.503668677
2014,1400,200,2400,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",561.234802617119,314984.503668677
2015,7000,5600,8100,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",637.766821155818,406746.518167197
2016,1600,100,2700,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",663.27749400205,439937.03404964
2017,1400,540,2150,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",410.721832824347,168692.42395859
2018,8500,7100,10100,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",765.320185386981,585714.986160763
2019,6800,5400,8300,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",739.809512540748,547318.11484578
2020,3700,2500,5000,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",637.766821155818,406746.518167197
2021,1700,700,2800,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",535.724129770887,287000.343218774
2022,4500,3100,6000,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",739.809512540748,547318.11484578
2023,3100,1300,4600,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",841.852203925679,708715.133254523
2024,2800,1200,4400,"EB-19-2025 Anhang","2026-08-29","https://edoc.rki.de/handle/176904/12682","final",816.341531079447,666413.495365135
2025,2500,1200,3700,"RKI-Wochenbericht KW38/2025 (Berichtsdatum 02.10.2025), kumulativ KW15-38/2025 -- vom RKI selbst als 'noch unvollstaendig' gekennzeichnet, KEINE finale Jahresschaetzung im Epid-Bull-Format verfuegbar (Abweichung von SAP-Annahme, siehe Struktur-Check)","2026-08-29","https://edoc.rki.de/handle/176904/12995","vorlaeufig_letzter_verfuegbarer_wert",637.766821155818,406746.518167197
