"jahr","punktschaetzer","sei","CV_Prozent","delta_warnung"
1992,3100,586.745475463352,18.9,""
1993,100,247.453526608457,247.5,"Delta-Approximation fuer dieses Jahr unzuverlaessig, mit Vorsicht interpretieren"
1994,10200,637.766821155818,6.3,""
1995,2900,535.724129770887,18.5,""
1996,160,397.96649640123,248.7,"Delta-Approximation fuer dieses Jahr unzuverlaessig, mit Vorsicht interpretieren"
1997,1920,431.130371101333,22.5,""
1998,900,413.27290010897,45.9,""
1999,880,474.498514939928,53.9,""
2000,420,344.394083424142,82,""
2001,2300,612.256148309585,26.6,""
2002,1290,484.702784078421,37.6,""
2003,10200,688.788166848283,6.8,""
2004,1350,390.31329454736,28.9,""
2005,1660,502.560255070784,30.3,""
2006,7700,535.724129770887,7,""
2007,520,459.192111232189,88.3,""
2008,1220,497.458120501538,40.8,""
2009,730,469.396380370682,64.3,""
2010,4090,492.355985932291,12,""
2011,230,308.679141439416,134.2,"Delta-Approximation fuer dieses Jahr unzuverlaessig, mit Vorsicht interpretieren"
2012,1200,586.745475463352,48.9,""
2013,3500,561.234802617119,16,""
2014,1400,561.234802617119,40.1,""
2015,7000,637.766821155818,9.1,""
2016,1600,663.27749400205,41.5,""
2017,1400,410.721832824347,29.3,""
2018,8500,765.320185386981,9,""
2019,6800,739.809512540748,10.9,""
2020,3700,637.766821155818,17.2,""
2021,1700,535.724129770887,31.5,""
2022,4500,739.809512540748,16.4,""
2023,3100,841.852203925679,27.2,""
2024,2800,816.341531079447,29.2,""
2025,2500,637.766821155818,25.5,""
