"jahr_ausgeschlossen","mu_hat","tau2","I2","Q","Qp"
1992,2951.9,7887330.9,97.1,824.27,1.37341208322208e-152
1993,3044.7,7618624.4,96.7,760.23,3.29270466845346e-139
1994,2731.5,6193789.2,96.3,660.14,2.16469708522461e-118
1995,2958,7890061.1,97,824.96,9.8335651361559e-153
1996,3041.8,7634107.5,96.9,805.06,1.43141541956487e-148
1997,2988.1,7859128.5,97,827.71,2.60854584361763e-153
1998,3019.2,7754747.6,96.9,820.19,9.80575040164071e-152
1999,3019.4,7752283.7,97,821.87,4.36168638347005e-152
2000,3034.3,7679730.7,96.9,805,1.47211741984987e-148
2001,2976,7874829.5,97.1,827.54,2.83515993924964e-153
2002,3007,7802603.7,97,825.46,7.71531692204646e-153
2003,2734,6226688.8,96.3,684.41,1.99309642342492e-123
2004,3005.7,7809820.9,97,824.73,1.09876239065633e-152
2005,2995.7,7838048.1,97,827.25,3.25741725862434e-153
2006,2808.7,7136849.8,96.7,712.31,3.17382614269399e-129
2007,3030.4,7698485.8,97,816.81,4.97751359842963e-151
2008,3009,7794738.8,97,825.14,9.01067361365198e-153
2009,3023.9,7730985.4,97,820.04,1.0548923894851e-151
2010,2921.4,7846337.3,97,809.46,1.72068427596512e-149
2011,3040.3,7644927.3,96.8,791.72,8.79057568831686e-146
2012,3008.9,7791923.2,97,825.8,6.56498212999537e-153
2013,2939.7,7878428.5,97.1,820.59,8.05905812622052e-152
2014,3003.1,7813297.7,97,826.54,4.59470702607455e-153
2015,2833,7355625.5,96.9,765.58,2.52502336237816e-140
2016,2996.5,7829926.9,97.1,827.37,3.08263531881499e-153
2017,3004,7814917.7,97,825.43,7.83477713518647e-153
2018,2790.2,6935233,96.7,755.07,3.91952290073798e-138
2019,2841.3,7419468.3,96.9,785.37,1.86049725351374e-144
2020,2933.9,7867246.3,97.1,820.65,7.83432635045463e-152
2021,2994.3,7840726.9,97,827.41,3.01831243076e-153
2022,2910.5,7805697.4,97.1,816.33,6.29860478544542e-151
2023,2952.1,7876733.5,97.1,826.08,5.72506842568448e-153
2024,2960.8,7878389.7,97.1,826.83,4.00049394116477e-153
2025,2969.9,7880669.3,97.1,827.17,3.38605557953734e-153
