"Länderarbeitskreis Energiebilanzen"
"Indikatoren CO2-Emissionen *)"
"Einheit: Indikator Zur Definition bitte Methodendokumentation beachten"
" "
Land;Jahr;Anm;"CO2-Emissionen je Einwohner (1000 t / EW)";Stand
Bayern;1990;LAK1);7.502779239251429;18.07.2024
Bayern;1991;LAK1);7.772543526779934;04.02.2021
Bayern;1992;LAK1);7.51301300516841;04.02.2021
Bayern;1993;LAK1);7.696986664421861;04.02.2021
Bayern;1994;LAK1);7.426238795628501;04.02.2021
Bayern;1995;LAK1);7.44490541296837;04.02.2021
Bayern;1996;LAK1);7.797429845494871;20.08.2019
Bayern;1997;LAK1);7.589846949334545;20.08.2019
Bayern;1998;LAK1);7.757707517981021;20.08.2019
Bayern;1999;LAK1);7.5619236777988545;20.08.2019
Bayern;2000;LAK1);7.360649120452299;20.08.2019
Bayern;2001;LAK1);7.461743157490487;20.08.2019
Bayern;2002;LAK1);6.93150354726864;20.08.2019
Bayern;2003;LAK1);6.8113743862140135;20.08.2019
Bayern;2004;LAK1);6.7687742232808015;20.08.2019
Bayern;2005;LAK1);6.559433142084368;20.08.2019
Bayern;2006;LAK1);6.669097981801538;20.08.2019
Bayern;2007;LAK1);6.1103900120322;20.08.2019
Bayern;2008;LAK1);6.512817510305758;20.08.2019
Bayern;2009;LAK1);6.3161268856007515;20.08.2019
Bayern;2010;LAK1);6.517934209505334;20.08.2019
Bayern;2011;LAK1);6.351372108273584;20.08.2019
Bayern;2012;LAK1);6.316926396674952;20.08.2019
Bayern;2013;LAK1);6.32302175977047;20.08.2019
Bayern;2014;LAK1);5.937580735543015;20.08.2019
Bayern;2015;LAK1);6.0634495176844725;20.08.2019
Bayern;2016;;6.15900531621802;20.08.2019
Bayern;2017;;6.123263219322165;20.08.2019
Bayern;2018;;6.019949948757764;04.02.2021
Bayern;2019;;6.117082134118012;21.07.2022
Bayern;2020;;5.558266475306001;30.03.2024
Bayern;2021;;5.555132576870108;19.02.2024
Bayern;2022;;5.517161122048758;
Bayern;2023;;5.229426785041423;
Bayern;2024;;;
Berlin;1990;LAK3);7.837429177098714;10.03.2022
Berlin;1991;BE1);8.11695519022305;10.03.2022
Berlin;1992;BE1);7.286435264208769;10.03.2022
Berlin;1993;BE1);7.666463078386783;10.03.2022
Berlin;1994;BE1);7.382266448937649;10.03.2022
Berlin;1995;BE1);7.154826580345283;10.03.2022
Berlin;1996;BE1);7.235846891720041;10.03.2022
Berlin;1997;BE1);6.996049037807442;10.03.2022
Berlin;1998;BE1);6.858391030588702;10.03.2022
Berlin;1999;BE1);7.183302059589807;10.03.2022
Berlin;2000;BE1);7.213257792521073;10.03.2022
Berlin;2001;BE1);7.348107499321702;10.03.2022
Berlin;2002;BE1);6.498293535282745;10.03.2022
Berlin;2003;LAK3);6.51329876453613;10.03.2022
Berlin;2004;LAK3);6.210624352317917;10.03.2022
Berlin;2005;LAK3);6.16665035541862;10.03.2022
Berlin;2006;LAK3);6.141453439741363;10.03.2022
Berlin;2007;LAK3);5.380295709169334;10.03.2022
Berlin;2008;LAK3);5.674343531517274;10.03.2022
Berlin;2009;LAK3);5.485284380677853;10.03.2022
Berlin;2010;LAK3);6.015455641704245;10.03.2022
Berlin;2011;LAK3);5.24228611389143;10.03.2022
