"Sensitivitaet","Kontrast","Delta","KI_unten","KI_oben","Anmerkung"
"S1: alt. Zielgroesse (THG-Gesamt)","E2a",NA,NA,NA,"entfaellt (keine Datenquelle)"
"S1: alt. Zielgroesse (THG-Gesamt)","E2b",NA,NA,NA,"entfaellt (keine Datenquelle)"
"S1: alt. Zielgroesse (THG-Gesamt)","E1",NA,NA,NA,"entfaellt (keine Datenquelle)"
"S2a: gesamte Zeitreihe (2010-2023)","E2a",6.4,4.4,8.4,""
"S2a: gesamte Zeitreihe (2010-2023)","E2b",2.1,1.9,2.3,""
"S2a: gesamte Zeitreihe (2010-2023)","E1",8.5,6.4,10.5,""
"S2b: Einzeljahreswert (kein Trendmodell)","E2a",7.1,NA,NA,"kein CI (Einzelbeobachtung, kein Modell)"
"S2b: Einzeljahreswert (kein Trendmodell)","E2b",1.9,NA,NA,"kein CI (Einzelbeobachtung, kein Modell)"
"S2b: Einzeljahreswert (kein Trendmodell)","E1",9,NA,NA,"kein CI (Einzelbeobachtung, kein Modell)"
"S3: alt. Bevoelkerungskonvention (31.12.)","E2a",NA,NA,NA,"nicht durchfuehrbar: kein Netzwerkzugriff verfuegbar (nicht versucht, s. Abweichung C)"
"S3: alt. Bevoelkerungskonvention (31.12.)","E2b",NA,NA,NA,"nicht durchfuehrbar: kein Netzwerkzugriff verfuegbar (nicht versucht, s. Abweichung C)"
"S3: alt. Bevoelkerungskonvention (31.12.)","E1",NA,NA,NA,"nicht durchfuehrbar: kein Netzwerkzugriff verfuegbar (nicht versucht, s. Abweichung C)"
"S4: Theil-Sen (robust) statt OLS (Fenster n=5)","E2a",7.7,NA,NA,"nur Punktschaetzer (kein CI, s. Skript-Kommentar oben)"
"S4: Theil-Sen (robust) statt OLS (Fenster n=5)","E2b",1.8,NA,NA,"nur Punktschaetzer (kein CI, s. Skript-Kommentar oben)"
"S4: Theil-Sen (robust) statt OLS (Fenster n=5)","E1",9.5,NA,NA,"nur Punktschaetzer (kein CI, s. Skript-Kommentar oben)"
"S5a: Bruecke Hamburg statt Bayern (Fenster n=5)","E2a",8.6,7.8,9.3,""
"S5a: Bruecke Hamburg statt Bayern (Fenster n=5)","E2b",1.2,0.8,1.5,""
"S5a: Bruecke Hamburg statt Bayern (Fenster n=5)","E1",9.7,9,10.4,""
"S5b: Bruecke Rheinland-Pfalz statt Bayern (Fenster n=5)","E2a",7.4,6.7,8.1,""
"S5b: Bruecke Rheinland-Pfalz statt Bayern (Fenster n=5)","E2b",2.3,2.1,2.4,""
"S5b: Bruecke Rheinland-Pfalz statt Bayern (Fenster n=5)","E1",9.7,9,10.4,""
"S6: Berlin bruchbereinigt (ab 1991, eigene Langreihe; Fenster n=5)","E2a",7.9,7.2,8.6,"unveraendert ggue. Primaeranalyse n=5 (Berlin nicht an E2a beteiligt)"
"S6: Berlin bruchbereinigt (ab 1991, eigene Langreihe; Fenster n=5)","E2b",1.6,1.3,1.8,"Berlin ab1991-Fitted=3.64 (statt mit-1990=3.66)"
"S6: Berlin bruchbereinigt (ab 1991, eigene Langreihe; Fenster n=5)","E1",9.5,8.8,10.1,"Berlin ab1991-Fitted=3.64 (statt mit-1990=3.66)"
