"rank","code","name","value","share","cum_share"
1,"CHN","China",15536.12168298,0.299654717166702,0.299654717166702
2,"USA","United States",5912.6177240236,0.114040288043578,0.41369500521028
3,"IND","India",4371.1693272556,0.084309426456249,0.498004431666529
4,"RUS","Russia",2575.6547638945,0.0496782347321209,0.54768266639865
5,"IDN","Indonesia",1323.7779107977,0.0255325172875143,0.573215183686164
6,"BRA","Brazil",1299.1802084395,0.0250580863005858,0.59827326998675
7,"JPN","Japan",1063.3358491923,0.0205092113491876,0.618782481335937
8,"IRN","Iran",1054.7650714871,0.0203439014976328,0.63912638283357
9,"SAU","Saudi Arabia",838.87655111445,0.0161799270623222,0.655306309895892
10,"CAN","Canada",768.05892108106,0.0148140239539989,0.670120333849891
11,"MEX","Mexico",686.77936947935,0.0132463353413814,0.683366669191273
12,"DEU","Germany",674.35832625518,0.0130067630549252,0.696373432246198
13,"KOR","South Korea",668.2452710079,0.0128888568053137,0.709262289051511
14,"AUS","Australia",591.45396067192,0.0114077356575051,0.720670024709017
15,"VNM","Viet Nam",584.25762297743,0.0112689354742624,0.731938960183279
16,"TUR","Türkiye",579.5068163266,0.0111773037496714,0.74311626393295
17,"ZAF","South Africa",569.80960950652,0.0109902677682165,0.754106531701167
18,"PAK","Pakistan",525.88247143799,0.0101430180876036,0.76424954978877
19,"THA","Thailand",422.38728704425,0.00814684292623135,0.772396392715002
20,"IRQ","Iraq",413.27642108277,0.0079711160608952,0.780367508775897
21,"GBR","United Kingdom",386.69571660351,0.0074584376946109,0.787825946470508
22,"EGY","Egypt",386.59822846755,0.00745655738108064,0.795282503851589
23,"FRA","France and Monaco",378.12019029289,0.00729303625378802,0.802575540105377
24,"ARG","Argentina",374.34460684858,0.00722021425791093,0.809795754363288
25,"ITA","Italy, San Marino and the Holy See",371.17171099618,0.00715901666763382,0.816954771030921
26,"NGA","Nigeria",350.55535432209,0.0067613763392274,0.823716147370149
27,"POL","Poland",348.19504097853,0.00671585152667627,0.830431998896825
28,"MYS","Malaysia",332.16682806372,0.00640670554380612,0.836838704440631
29,"KAZ","Kazakhstan",330.39334589704,0.00637249930444338,0.843211203745075
30,"TWN","Taiwan",309.61165394265,0.00597167005297965,0.849182873798054
31,"ESP","Spain and Andorra",285.63832224712,0.00550928168634904,0.854692155484403
32,"PHL","Philippines",266.59728422387,0.00514202549591458,0.859834180980318
33,"ARE","United Arab Emirates",264.1483737417,0.00509479185595763,0.864928972836275
34,"DZA","Algeria",252.69999712007,0.00487397998742479,0.8698029528237
35,"UZB","Uzbekistan",227.48836597705,0.00438770777910724,0.874190660602807
36,"BGD","Bangladesh",220.82672080545,0.00425922053882336,0.878449881141631
37,"COL","Colombia",217.58573010569,0.00419670956141897,0.88264659070305
38,"UKR","Ukraine",196.96400554191,0.00379896569922853,0.886445556402278
39,"ETH","Ethiopia",192.70400670949,0.00371680048635834,0.890162356888637
40,"KWT","Kuwait",173.33069669357,0.00334313556200575,0.893505492450642
41,"VEN","Venezuela",167.31843037995,0.00322717329043624,0.896732665741079
42,"QAT","Qatar",162.74468869021,0.00313895672645721,0.899871622467536
43,"NLD","Netherlands",145.00667452457,0.00279683275714467,0.902668455224681
44,"SDN","Sudan and South Sudan",138.70195171916,0.00267522969766688,0.905343684922347
45,"OMN","Oman",132.26466164521,0.00255106973189223,0.90789475465424
46,"CHL","Chile",118.1208787777,0.00227826990827383,0.910173024562513
47,"MMR","Myanmar/Burma",117.78753637361,0.00227184052867347,0.912444865091187
48,"TKM","Turkmenistan",114.81218331098,0.00221445306746234,0.914659318158649
49,"MAR","Morocco",108.73642374068,0.00209726616247011,0.916756584321119
50,"BEL","Belgium",107.82402021199,0.00207966807545004,0.918836252396569
51,"MNG","Mongolia",104.35496596142,0.00201275829632354,0.920849010692893
52,"PER","Peru",103.81302462112,0.00200230554097299,0.922851316233866
53,"KEN","Kenya",102.83615180704,0.00198346399526525,0.924834780229131
54,"TZA","Tanzania",102.52500651273,0.00197746274494894,0.92681224297408
55,"ROU","Romania",101.85758975999,0.00196458986828412,0.928776832842364
56,"TCD","Chad",101.17379719021,0.00195140114118226,0.930728233983547
57,"CZE","Czechia",100.3792060908,0.00193607537481563,0.932664309358362
58,"LBY","Libya",98.170876116766,0.00189348195882141,0.934557791317184
59,"PRK","North Korea",91.251815189815,0.00176002978282591,0.936317821100009
60,"BLR","Belarus",87.491361226524,0.00168749959853784,0.938005320698547
61,"NZL","New Zealand",77.837353277562,0.00150129682023182,0.939506617518779
62,"ISR","Israel and Palestine, State of",76.620732865356,0.00147783111540806,0.940984448634187
63,"SGP","Singapore",76.092758336065,0.00146764774651624,0.942452096380703
64,"ECU","Ecuador",74.408550594854,0.00143516339780678,0.94388725977851
65,"GRC","Greece",71.500075445737,0.00137906585197269,0.945266325630483
66,"AUT","Austria",70.999903509698,0.00136941872876608,0.946635744359249
67,"AGO","Angola",69.922938779033,0.0013486466488126,0.947984391008062
68,"SCG","Serbia and Montenegro",66.753674928177,0.0012875191111791,0.949271910119241
69,"BHR","Bahrain",64.422177089661,0.00124255008096478,0.950514460200205
70,"BOL","Bolivia",63.757197635886,0.00122972421398146,0.951744184414187
71,"HUN","Hungary",60.452896861118,0.00116599213629173,0.952910176550479
72,"IRL","Ireland",59.677828151727,0.001151042910247,0.954061219460726
73,"COD","Democratic Republic of the Congo",58.4916909867,0.0011281651545265,0.955189384615252
74,"AZE","Azerbaijan",58.279785322645,0.00112407799988623,0.956313462615138
75,"UGA","Uganda",57.298152268275,0.0011051446405015,0.95741860725564
76,"NOR","Norway",53.759636410718,0.0010368951127157,0.958455502368356
77,"PRT","Portugal",53.169594055909,0.00102551460356712,0.959481016971923
78,"SWE","Sweden",52.565801794433,0.00101386889152701,0.96049488586345
79,"DOM","Dominican Republic",51.580798483369,0.000994870527932287,0.961489756391382
80,"KHM","Cambodia",49.834754915236,0.000961193513665412,0.962450949905047
81,"FIN","Finland",48.678995972021,0.000938901681359452,0.963389851586407
82,"GHA","Ghana",48.093948904038,0.000927617519374694,0.964317469105782
83,"MLI","Mali",48.008509546061,0.000925969598022639,0.965243438703804
84,"SYR","Syria",47.16557606493,0.000909711422460371,0.966153150126265
85,"BGR","Bulgaria",46.676574364022,0.000900279746436608,0.967053429872701
86,"URY","Uruguay",44.627145531682,0.000860751154318222,0.967914181027019
87,"TUN","Tunisia",44.621000753775,0.000860632636214197,0.968774813663234
88,"GTM","Guatemala",43.47216808936,0.000838474395299782,0.969613288058533
89,"CHE","Switzerland and Liechtenstein",42.992440730259,0.000829221599200352,0.970442509657734
90,"LAO","Laos",41.549637581744,0.000801393369078473,0.971243903026812
91,"NPL","Nepal",41.468234697375,0.000799823301671053,0.972043726328483
92,"PRY","Paraguay",41.442035300931,0.000799317977826946,0.97284304430631
93,"NER","Niger",41.146146953493,0.000793610997611826,0.973636655303922
94,"CMR","Cameroon",40.621855916018,0.000783498674488114,0.97442015397841
95,"HKG","Hong Kong",40.307052043688,0.00077742685893138,0.975197580837342
96,"SVK","Slovakia",39.000776046537,0.000752231911797518,0.975949812749139
97,"ZMB","Zambia",38.519002327815,0.000742939646303733,0.976692752395443
98,"DNK","Denmark",38.264629313957,0.00073803339781535,0.977430785793258
99,"CIV","Côte d’Ivoire",38.0266971213,0.00073344425353917,0.978164230046797
100,"LKA","Sri Lanka",37.166534563567,0.000716853770198837,0.978881083816996
101,"CUB","Cuba",35.985717152786,0.000694078619844503,0.979575162436841
102,"MDG","Madagascar",35.789966511419,0.00069030305704505,0.980265465493886
103,"BFA","Burkina Faso",34.917746360625,0.000673480011504695,0.98093894550539
104,"JOR","Jordan",34.855734918746,0.000672283958753788,0.981611229464144
105,"SOM","Somalia",34.416872869166,0.000663819356967992,0.982275048821112
106,"MOZ","Mozambique",33.625590000769,0.00064855739848397,0.982923606219596
107,"TTO","Trinidad and Tobago",33.586578143246,0.000647804952836932,0.983571411172433
108,"AFG","Afghanistan",33.034840089668,0.000637163242262784,0.984208574414696
109,"YEM","Yemen",32.902757150808,0.000634615677529817,0.984843190092226
110,"SEN","Senegal",31.720612000848,0.000611814918254784,0.98545500501048
111,"ZWE","Zimbabwe",30.784272445925,0.000593755162401441,0.986048760172882
112,"GIN","Guinea",29.37591393664,0.000566591287183378,0.986615351460065
113,"BIH","Bosnia and Herzegovina",27.626664266922,0.000532852434866874,0.987148203894932
114,"HRV","Croatia",26.841829070678,0.000517714836594159,0.987665918731526
115,"COG","Congo",24.623026459752,0.000474919428422624,0.988140838159949
116,"HND","Honduras",24.387070793249,0.000470368406619847,0.988611206566569
117,"KGZ","Kyrgyzstan",22.368960993932,0.000431443883919424,0.989042650450488
118,"TJK","Tajikistan",22.1889706355,0.000427972299372828,0.989470622749861
119,"GAB","Gabon",21.781991821997,0.000420122649135685,0.989890745398997
120,"LTU","Lithuania",21.535707113595,0.000415372404760377,0.990306117803757
121,"GEO","Georgia",19.602824699722,0.000378091714967626,0.990684209518725
122,"PAN","Panama",19.217954518897,0.000370668487502347,0.991054878006227
123,"NIC","Nicaragua",19.158621094605,0.000369524087320786,0.991424402093548
124,"MWI","Malawi",19.023564522485,0.000366919168297498,0.991791321261845
125,"LBN","Lebanon",18.786314625993,0.000362343183886342,0.992153664445732
126,"BEN","Benin",17.767052694653,0.000342684053249571,0.992496348498981
127,"PRI","Puerto Rico",17.616493919667,0.000339780133722163,0.992836128632703
128,"MRT","Mauritania",17.508620664645,0.000337699516024705,0.993173828148728
129,"SVN","Slovenia",17.336899254101,0.000334387419752673,0.993508215568481
130,"CRI","Costa Rica",17.076872282267,0.000329372119905608,0.993837587688386
131,"SLV","El Salvador",14.751634624787,0.000284523833646313,0.994122111522033
132,"NAM","Namibia",14.212131813916,0.000274118111709975,0.994396229633743
133,"EST","Estonia",14.129201839084,0.000272518590371252,0.994668748224114
134,"HTI","Haiti",13.782308697238,0.000265827849372435,0.994934576073486
135,"CAF","Central African Republic",13.444289575371,0.00025930826704508,0.995193884340531
136,"BWA","Botswana",12.097729590747,0.000233336337912821,0.995427220678444
137,"BRN","Brunei",11.865488060786,0.000228856952941792,0.995656077631386
138,"MDA","Moldova",11.658324509614,0.000224861262344073,0.99588093889373
139,"LVA","Latvia",11.642388850407,0.000224553901501388,0.996105492795232
140,"TGO","Togo",10.84426498811,0.000209159996568048,0.9963146527918
141,"ARM","Armenia",10.780575284995,0.000207931574162328,0.996522584365962
142,"PNG","Papua New Guinea",10.761087900867,0.000207555709020541,0.996730140074983
143,"MKD","North Macedonia",9.8120963348751,0.00018925192606212,0.996919392001045
144,"JAM","Jamaica",9.4247004126026,0.000181779983070886,0.997101171984116
145,"CYP","Cyprus",9.3431805128348,0.000180207658715629,0.997281379642831
146,"GUY","Guyana",8.7308618260253,0.000168397492275391,0.997449777135107
147,"BDI","Burundi",8.4217240098523,0.000162434961422383,0.997612212096529
148,"RWA","Rwanda",8.3498807486411,0.000161049276335856,0.997773261372865
149,"GNQ","Equatorial Guinea",8.1387019428792,0.000156976141057732,0.997930237513923
150,"LUX","Luxembourg",8.0536674199614,0.000155336028008009,0.998085573541931
151,"SLE","Sierra Leone",7.9284830540788,0.000152921520287376,0.998238495062218
152,"ALB","Albania",7.1243105671217,0.000137410951816716,0.998375906014035
153,"ERI","Eritrea",6.5792579891564,0.000126898188115199,0.99850280420215
154,"MUS","Mauritius",6.4715957970748,0.000124821641318253,0.998627625843468
155,"NCL","New Caledonia",5.381612167984,0.00010379845787799,0.998731424301346
156,"LBR","Liberia",4.4599085437756,8.60209942059421e-05,0.998817445295552
157,"ISL","Iceland",4.282410664188,8.25974836290534e-05,0.998900042779181
158,"SUR","Suriname",3.6665753428261,7.07194896991958e-05,0.99897076226888
159,"GNB","Guinea-Bissau",3.1886332502392,6.15011271310727e-05,0.999032263396011
160,"LSO","Lesotho",3.0549651667286,5.8922988740044e-05,0.999091186384751
161,"REU","Réunion",3.0343888984009,5.85261216201863e-05,0.999149712506372
162,"SWZ","Eswatini",2.9297572535237,5.65080268477495e-05,0.999206220533219
163,"BTN","Bhutan",2.8063179135888,5.41271765139137e-05,0.999260347709733
164,"FJI","Fiji",2.7508988098211,5.30582742354683e-05,0.999313405983969
165,"ANT","Curaçao",2.4926653897091,4.80775677216011e-05,0.99936148355169
166,"DJI","Djibouti",2.4173445719381,4.66248088666895e-05,0.999408108360557
167,"MLT","Malta",2.2436192275264,4.32740614918536e-05,0.999451382422049
168,"MDV","Maldives",2.093372989544,4.03761700575133e-05,0.999491758592106
169,"TLS","Timor-Leste",1.9401197768467,3.74202812557406e-05,0.999529178873362
170,"GMB","The Gambia",1.8595051534366,3.58654175213817e-05,0.999565044290883
171,"BHS","Bahamas",1.8438726177365,3.55639032078742e-05,0.999600608194091
172,"MAC","Macao",1.8200948273386,3.51052863663019e-05,0.999635713480458
173,"PLW","Palau",1.5338110380463,2.95835551607736e-05,0.999665297035618
174,"GLP","Guadeloupe",1.4489095538072,2.79460081097247e-05,0.999693243043728
175,"MTQ","Martinique",1.2018075056671,2.31799992010887e-05,0.999716423042929
176,"PYF","French Polynesia",1.0810034887819,2.08499779608462e-05,0.99973727302089
177,"BLZ","Belize",1.0346841172425,1.99565878045897e-05,0.999757229608695
178,"SYC","Seychelles",0.97643740361626,1.88331476788161e-05,0.999776062756373
179,"COM","Comoros",0.94938908784032,1.83114502063668e-05,0.99979437420658
180,"CPV","Cabo Verde",0.91256444810314,1.76011907715879e-05,0.999811975397351
181,"BRB","Barbados",0.91205446117052,1.75913543405164e-05,0.999829566751692
182,"ESH","Western Sahara",0.7354140234676,1.41843817716765e-05,0.999843751133464
183,"GRL","Greenland",0.6592546312159,1.27154488159201e-05,0.99985646658228
184,"GIB","Gibraltar",0.65890452694286,1.27086961398625e-05,0.999869175278419
185,"VUT","Vanuatu",0.63205272100592,1.21907888733235e-05,0.999881366067293
186,"SLB","Solomon Islands",0.61975198600172,1.1953537045368e-05,0.999893319604338
187,"ABW","Aruba",0.58871640278437,1.13549346978281e-05,0.999904674539036
188,"GUF","French Guiana",0.58626018667196,1.13075601496954e-05,0.999915982099186
189,"WSM","Samoa",0.52164779979124,1.00613413757128e-05,0.999926043440561
