"rank","code","name","value","share","cum_share"
1,"USA","USA",434696.386006332,0.241741247536987,0.241741247536987
2,"China","China",285087.04209527,0.158541224245965,0.400282471782952
3,"Russia","Russia",122808.187351845,0.0682954939905083,0.46857796577346
4,"Germany","Germany",94896.1631868431,0.0527731943806103,0.52135116015407
5,"United Kingdom","United Kingdom",76489.3713659782,0.042536898517169,0.563888058671239
6,"Japan","Japan",69612.2793840966,0.0387124434523356,0.602600502123575
7,"India","India",66072.5306122539,0.0367439355198582,0.639344437643433
8,"France","France",39726.7629794599,0.0220926549021756,0.661437092545609
9,"Canada","Canada",35643.7607557247,0.0198220354927756,0.681259128038384
10,"Ukraine","Ukraine",31236.4804283647,0.0173710801159216,0.698630208154306
11,"Poland","Poland",28983.7595281138,0.0161183078861304,0.714748516040436
12,"Italy","Italy",26005.9443967111,0.0144622997665016,0.729210815806938
13,"South Africa","South Africa",22826.9667138305,0.0126944221036296,0.741905237910567
14,"Mexico","Mexico",22015.8515379844,0.0122433486629077,0.754148586573475
15,"Iran","Iran",21810.6373540198,0.0121292259454413,0.766277812518916
16,"South Korea","South Korea",20707.5498503833,0.0115157822687606,0.777793594787677
17,"Australia","Australia",20038.8766567523,0.0111439229728782,0.788937517760555
18,"Saudi Arabia","Saudi Arabia",19020.3391827002,0.0105774988488991,0.799515016609454
19,"Brazil","Brazil",18198.7064054242,0.0101205764106411,0.809635593020095
20,"Indonesia","Indonesia",17419.9345893654,0.00968748960242005,0.819323082622515
21,"Spain","Spain",15697.9812321995,0.00872988524645533,0.828052967868971
22,"Kazakhstan","Kazakhstan",14937.4355838585,0.00830693428629685,0.836359902155267
23,"Türkiye","Türkiye",12887.5516731614,0.00716696278013694,0.843526864935404
24,"Belgium","Belgium",12765.0222172649,0.00709882229293258,0.850625687228337
25,"Czechia","Czechia",12331.7849211369,0.00685789246738762,0.857483579695725
26,"Netherlands","Netherlands",12247.9851624418,0.00681129015169697,0.864294869847422
27,"Taiwan","Taiwan",10091.9107675875,0.0056122645081135,0.869907134355535
28,"Argentina","Argentina",9151.53718302987,0.00508930850755805,0.874996442863093
29,"Romania","Romania",8861.76419143978,0.00492816135578833,0.879924604218882
