winter;netto_entnahme_twh;wintermitteltemp_c;winterverbrauch_twh;gas_strom_waerme_twh;speicheranteil_am_verbrauch_prozent
2008/09;119.0;3.01;605.0;;20.0
2009/10;72.6;2.68;659.0;;11.0
2010/11;100.3;2.69;644.0;;16.0
2011/12;88.6;4.09;550.0;;16.0
2012/13;138.3;2.53;627.0;;22.0
2013/14;54.8;5.39;492.0;;11.0
2014/15;150.0;4.92;589.0;;25.0
2015/16;78.8;5.13;600.0;;13.0
2016/17;155.0;3.75;638.0;;24.0
2017/18;161.5;3.95;639.0;90.0;25.0
2018/19;42.0;5.18;619.0;88.0;7.0
2019/20;64.4;5.64;636.0;90.0;10.0
2020/21;178.0;4.47;684.0;105.0;26.0
2021/22;110.6;4.92;647.0;89.0;17.0
2022/23;78.9;5.57;548.0;81.0;14.0
2023/24;74.6;6.18;541.0;83.0;14.0
2024/25;163.2;4.83;602.0;104.0;27.0
2025/26;133.7;4.41;612.0;113.0;22.0
