# Quelle: DWD Climate Data Center, Gebietsmittel Deutschland, Monatsmitteltemperatur (Grad Celsius)
# Dateien: regional_averages_tm_01/02/03/10/11/12, Kopfzeile "erstellt am: 20260902"
# Uebernommen aus den von Daniel Saure am 14.09.2026 in den Chat eingefuegten Dateiinhalten
# (Spalte "Deutschland"). Vollstaendige Originaldateien sind nachzureichen; diese Datei
# enthaelt die Jahre 1996-2026 (erst 2013-2026 uebernommen, danach 1996-2012 aus denselben
# eingefuegten Dateiinhalten ergaenzt). Zahlen vor Veroeffentlichung gegen die Originaldateien
# zu pruefen (Validierungsschritt, Auflage im SAP).
jahr;monat;tm_deutschland_c
2013;01;0.20
2014;01;2.12
2015;01;2.19
2016;01;1.01
2017;01;-2.15
2018;01;3.72
2019;01;0.63
2020;01;3.48
2021;01;0.63
2022;01;2.79
2023;01;3.62
2024;01;1.50
2025;01;1.99
2026;01;-0.79
2013;02;-0.72
2014;02;4.34
2015;02;0.72
2016;02;3.33
2017;02;2.90
2018;02;-1.87
2019;02;3.95
2020;02;5.29
2021;02;1.71
2022;02;4.47
2023;02;3.21
2024;02;6.58
2025;02;1.48
2026;02;2.77
2013;03;0.07
2014;03;6.94
2015;03;5.18
2016;03;4.01
2017;03;7.20
2018;03;2.36
2019;03;6.58
2020;03;5.27
2021;03;4.77
2022;03;5.09
2023;03;5.74
2024;03;7.48
2025;03;6.04
2026;03;6.30
2013;10;10.64
2014;10;11.88
2015;10;8.38
2016;10;8.49
2017;10;11.14
2018;10;10.72
2019;10;10.81
2020;10;10.21
2021;10;9.63
2022;10;12.52
2023;10;11.85
2024;10;11.03
2025;10;9.82
2013;11;4.63
2014;11;6.47
2015;11;7.51
2016;11;3.83
2017;11;5.11
2018;11;5.21
2019;11;5.22
2020;11;6.18
2021;11;4.90
2022;11;6.35
2023;11;5.63
2024;11;5.14
2025;11;5.03
2013;12;3.56
2014;12;2.73
2015;12;6.49
2016;12;2.16
2017;12;2.71
2018;12;3.90
2019;12;3.75
2020;12;3.08
2021;12;2.58
2022;12;1.80
2023;12;4.05
2024;12;3.00
2025;12;3.17
1996;01;-2.82
1997;01;-2.63
1998;01;2.39
1999;01;2.60
2000;01;1.06
2001;01;0.87
2002;01;1.19
2003;01;-0.25
2004;01;-0.09
2005;01;2.03
2006;01;-2.59
2007;01;4.76
2008;01;3.65
2009;01;-2.16
2010;01;-3.65
2011;01;0.95
2012;01;1.91
1996;02;-2.18
1997;02;4.10
1998;02;4.33
1999;02;0.39
2000;02;3.87
2001;02;2.26
2002;02;5.05
2003;02;-1.86
2004;02;2.42
2005;02;-1.03
2006;02;-0.36
2007;02;3.94
2008;02;3.72
2009;02;0.51
2010;02;-0.50
2011;02;0.93
2012;02;-2.50
1996;03;1.00
1997;03;5.84
1998;03;4.98
1999;03;5.41
2000;03;5.17
2001;03;4.23
2002;03;5.39
2003;03;5.34
2004;03;4.11
2005;03;3.63
2006;03;1.52
2007;03;6.18
2008;03;4.24
2009;03;4.30
2010;03;4.20
2011;03;4.91
2012;03;6.94
1996;10;9.17
1997;10;7.66
1998;10;8.70
1999;10;8.99
2000;10;10.56
2001;10;12.48
2002;10;8.29
2003;10;5.94
2004;10;10.08
2005;10;10.99
2006;10;12.14
2007;10;8.35
2008;10;9.09
2009;10;8.17
2010;10;8.13
2011;10;9.39
2012;10;8.72
1996;11;4.48
1997;11;3.98
1998;11;1.55
1999;11;3.46
2000;11;6.10
2001;11;3.82
2002;11;5.55
2003;11;6.02
2004;11;4.21
2005;11;4.17
2006;11;7.03
2007;11;3.67
2008;11;5.06
2009;11;7.38
2010;11;4.76
2011;11;4.50
2012;11;5.20
1996;12;-2.36
1997;12;2.20
1998;12;0.99
1999;12;2.17
2000;12;3.12
2001;12;-0.21
2002;12;0.34
2003;12;1.81
2004;12;1.08
2005;12;0.87
2006;12;4.43
2007;12;1.59
2008;12;1.06
2009;12;0.32
2010;12;-3.66
2011;12;3.90
2012;12;1.49
