jahr,tm_sommer_de
1881,16.53
1882,15.33
1883,16.26
1884,16.10
1885,16.18
1886,16.00
1887,16.62
1888,15.17
1889,16.77
1890,15.27
1891,15.31
1892,16.39
1893,16.74
1894,15.83
1895,16.48
1896,15.99
1897,16.86
1898,15.72
1899,16.27
1900,16.85
1901,16.82
1902,15.28
1903,15.50
1904,16.82
1905,17.36
1906,16.13
1907,14.91
1908,16.22
1909,15.10
1910,15.95
1911,17.83
1912,15.82
1913,14.73
1914,16.43
1915,16.30
1916,14.90
1917,17.58
1918,15.13
1919,15.15
1920,15.76
1921,16.79
1922,15.56
1923,15.18
1924,15.45
1925,16.45
1926,15.72
1927,15.93
1928,16.21
1929,16.36
1930,16.84
1931,16.11
1932,17.09
1933,16.44
1934,17.01
1935,17.21
1936,16.38
1937,16.83
1938,16.78
1939,16.93
1940,15.78
1941,16.60
1942,16.02
1943,16.65
1944,17.06
1945,16.89
1946,16.45
1947,18.53
1948,16.06
1949,16.21
1950,17.67
1951,16.52
1952,17.09
1953,16.62
1954,15.38
1955,16.23
1956,14.73
1957,16.49
1958,16.12
1959,17.58
1960,15.80
1961,15.63
1962,15.00
1963,16.49
1964,16.95
1965,15.12
1966,15.98
1967,16.56
1968,16.18
1969,16.59
1970,16.68
1971,16.58
1972,15.96
1973,17.02
1974,15.49
1975,17.26
1976,17.63
1977,15.95
1978,15.13
1979,15.77
1980,15.47
1981,16.01
1982,17.49
1983,18.26
1984,15.54
1985,15.69
1986,16.40
1987,15.44
1988,16.34
1989,16.68
1990,16.72
1991,16.86
1992,18.34
1993,15.84
1994,18.37
1995,17.56
1996,16.23
1997,17.60
1998,16.53
1999,17.13
2000,16.63
2001,17.16
2002,17.97
2003,19.67
2004,16.83
2005,16.73
2006,18.12
2007,17.16
2008,17.45
2009,17.16
2010,17.79
2011,16.79
2012,17.10
2013,17.68
2014,17.12
2015,18.36
2016,17.77
2017,17.90
2018,19.31
2019,19.25
2020,18.18
2021,17.92
2022,19.23
2023,18.51
2024,18.48
2025,18.28
2026,19.55
